S.NO.,TEST CODE,INVESTIGETATION,SAMPLE TYPE,TEMPERATURE,SPECIAL INSTRUCTION FOR SAMPLE COLLECTION,METHOD,CUT OFF TIME,REPORTED ON,NET,MRP,NET % OF MRP
715,C212,PLASMA RENIN,"5 ml. (2.5 ml. Minimum) Plasma from 2 EDTA tubes. Collect blood between 8 a.m.
& 10 a m   af ter 30 minutes","FROZEN  (-20°C) in
dry ice.",,RadioImmunoa ssay(RIA),4.30 PM,Next day Evening Except Sunday,3250,5050,64.4%
716,H046,PLATELET COUNT,3 ml. (2 ml. Minimum) Whole Blood in 1 EDTA tube.,Refrigerated(2-8°C),Prices are applicable as per Gov. Norms,Coulter Principle (Impedance),5.30 PM,Same Day,50,100,50.0%
717,C093,PLEURAL FLUID ANALYSIS,2ml. (1 ml. Minimum) PLUERAL FLUID.,Refrigerated(2-8°C),,"Microscopy/
VCS
Technology Spectrophotom",4.30 PM,Same Day,175,350,50.0%
718,R005,PML-RARA (APML),"2 ml. (1 ml. Minimum) Whole blood (EDTA,or Heparin ), Plasma or Serum",Refrigerated(2-8°C),,FISH/Real Time PCR,4.30 PM,5th Working Day,3750,5850,64.1%
719,C311,PNEUMOCYSTIS CARINI DETECTION,2ml. (1 ml. Minimum) BAL FLUID.,Refrigerated(2-8°C),,"IFA
(Immunofluore scenceAssay)",4.30 PM,2nd Working Day,1950,2950,66.1%
720,M175,PNEUMOCYSTIS CARINII DETECTION Â†,2ml. (1 ml. Minimum) BAL FLUID.,AMBIENT (18-25° C),Send Sample In Sterile Container,Light Microscopy,4.30 PM,3rd Working Day,1950,2850,68.4%
721,H552,POLARISING MICROSCOPIC(SYNOVIAL FLUID),2 ml. (1 ml. Minimum) SYNOVIAL FLUID,Refrigerated(2-8°C),,POLARISING MICROSCOPIC,4.30PM,Same Day,1150,2250,51.1%
722,C211,PORPHOBILILNOGEN - URINE,"15 ml.(10.0 ml. minimum) aliquot of Morning’s Midstream/Random Urine in
a sterile  leak - proof  screw",Refrigerated(2-8°C),Do not use preservatives,Qualitative chemical method,4.30 PM,2nd Working Day,2350,3550,66.2%
723,C146,POTASSIUM,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),"Hemolysed samples are not acceptable.
Overnight fasting
ispreferred",Ion Selective Electrode,5.30 PM,Same Day,60,180,33.3%
724,C147,POTASSIUM - 24 Hrs. Urine,"20 ml. (10 ml. Minimum)
sterile, 24 Hour container. aliquot of urine in a
screw capped , Record 24",Refrigerated(2-8°C),"Do not use preservatives.Blood contaminated & highly
turbid sample are not",Ion Selective Electrode,5.30 PM,Same Day,100,230,43.5%
725,C1293,POTASSIUM - URINE,"15 ml.(10.0 ml. minimum) aliquot of Morning’s Midstream/Random Urine in
a sterile  leak - proof  screw",Refrigerated(2-8°C),"Do not use preservatives.Blood contaminated & highly
turbid sample are not",Ion Selective Electrode,5.30 PM,Same Day,60,150,40.0%
726,C241,PREALBUMIN,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Nephelometry,4.30 PM,Next day Evening Except Sunday,115,250,46.0%
727,H085,PRECURSOR CELL MARKER : CD 34,"2 ml. (1 ml. Minimum) Whole blood (EDTA,or Heparin ), Plasma or Serum",Refrigerated(2-8°C),Brief clinical history mandatory,Flow Cytometry,4.30 PM,2nd Working Day,1050,1550,67.7%
728,H096,PRECURSOR CELL MARKER : TDT,"2 ml. (1 ml. Minimum) Whole blood (EDTA,or Heparin ), Plasma or Serum",Refrigerated(2-8°C),Brief clinical history mandatory,Flow Cytometry,4.30 PM,2nd Working Day,1050,1550,67.7%
729,C148,PREGNANCY TEST - URINE,"10 ml.(5 ml. Minimum)Aliquot of Morning’s Ist voided Midstream Urine in a sterile,
screw capped container",Refrigerated(2-8°C),Do not use preservatives,Immunochrom atography,5.30 PM,Same Day,60,150,40.0%
730,C231,PRO CALCITONIN,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Immunochrom atography,4.30 PM,Next day Evening Except Sunday,1650,3300,50.0%
731,C008,PRO-BETA NATRIURETIC PEPTIDE (BNP),2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Electrochemilu minescence,5.30 PM,Same Day,1800,2850,63.2%
732,C149,PROGESTERONE,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,"Chemiluminesc
ence Immunoassay (CLIA)",5.30 PM,Same Day,200,650,30.8%
733,H070,PROGNOSTIC ALL MARKER : CD10 (CALLA),"2 ml. (1 ml. Minimum) Whole blood (EDTA,or Heparin ), Plasma or Serum",Refrigerated(2-8°C),Brief clinical history mandatory,Flow Cytometry,4.30 PM,2nd Working Day,1050,1550,67.7%
734,H105,PROGNOSTIC B - CLL MARKER : ZAP 70,"2 ml. (1 ml. Minimum) Whole blood (EDTA,or Heparin ), Plasma or Serum",Refrigerated(2-8°C),Brief clinical history mandatory,Flow Cytometry,4.30 PM,2nd Working Day,1050,1550,67.7%
735,C1243,PROLACTIN(POOLED),2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,"Chemiluminesc
ence Immunoassay (CLIA)",5.30 PM,Same Day,230,600,38.3%
736,C150,PROLACTIN(PRL),2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Electrochemilu minescence,5.30 PM,Same Day,115,450,25.6%
737,C151,PROSTATE SPECIFIC ANTIGEN (FREE) PSA,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,"Chemiluminesc
ence Immunoassay (CLIA)",5.30 PM,Same Day,400,1050,38.1%
738,C152,PROSTATE SPECIFIC ANTIGEN (TOTAL) PSA,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,"Chemiluminesc
ence Immunoassay (CLIA)",5.30 PM,Same Day,230,650,35.4%
739,C002,PROSTATIC ACID PHOSPHATASE (PAP),2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Spectrophotom etry,4.30 PM,Next day Evening Except Sunday,400,850,47.1%
740,C207,PROTEIN - URINE SPOT TEST,"15 ml.(10.0 ml. minimum) aliquot of Morning’s Midstream/Random Urine in
a sterile  leak - proof  screw",Refrigerated(2-8°C),Do Not Freeze,Spectrophotom etry,5.30 PM,Same Day,100,230,43.5%
741,H047,PROTEIN C-FUNCTIONAL,2ml. (1ml. MinimumPLASMA in 1 Sodium Citrate (Light Blue Top) tube.,Refrigerated(2-8°C),,Enhanced Coagulation,4.30 PM,Next day Evening Except Sunday,1840,3450,53.3%
742,C155,PROTEIN ELECTROPHORESIS - CSF - ELECTROPHORESIS BAS,"2 ml. (1 ml. Minimum) CSF in a sterile, leak - proof screw
capped, plastic container",Refrigerated(2-8°C),Do Not Freeze,Agarose Gel Electrophoresis,4.30 PM,Next day Evening Except Sunday,1050,2050,51.2%
743,C262,PROTEIN ELECTROPHORESIS - PLEURAL FLUID,2ml. (1 ml. Minimum) PLUERAL FLUID.,Refrigerated(2-8°C),,Electrochemilu minescence,4.30 PM,Next day Evening Except Sunday,1050,2050,51.2%
744,C156,"PROTEIN ELECTROPHORESIS 24 Hrs.
Urine","20 ml. (10 ml. Minimum)
sterile, 24 Hour container. aliquot of urine in a
screw capped , Record 24",Refrigerated(2-8°C),Do Not Freeze,Gel Electrophoresis,4.30 PM,Next day Evening Except Sunday,1050,2050,51.2%
745,C154,PROTEIN ELECTROPHORESIS- SERUM,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),Do Not Freeze,"Densitometry, AgaroseGel Electrophoresis",4.30 PM,Next day Evening Except Sunday,350,850,41.2%
746,H048,PROTEIN S-FUNCTIONAL,(PLASMA) in 1 Sodium Citrate (Light Blue Top) tube.,Refrigerated(2-8°C),,Enhanced Coagulation,4.30 PM,Next day Evening Except Sunday,1840,3450,53.3%
747,C157,PROTEIN TOTAL,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Spectrophotom etry,5.30 PM,Same Day,60,150,40.0%
748,C158,"PROTEIN TOTAL WITH ALBUMIN, GLOBULIN",2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Spectrophotom etry,5.30 PM,Same Day,100,230,43.5%
749,H049,PROTHROMBIN TIME & INR,2ml.(1ml. Minimum)Sodium Citrate Plasma/Serum,"Local samples: 2-8° C to reach lab in 3 hours. Outstation
samples:(-20°C)",,Triggered Coagulation & Clot Detection,5.30 PM,Same Day,100,300,33.3%
750,C1291,PYRUVATE/PYUVIC ACID,"4 ml. (3 ml. Minimum) whole blood in 1 Grey top (Sodium
Fluoride) tube & mix it immediately
with equal volume","FROZEN  (-20°C) in
dry ice.",,Spectrophotom etry,4.30 PM,Next day Evening Except Sunday,1380,3450,40.0%
751,S058,RAPID PLASMA REAGIN (RPR TEST),2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,"SLIDE
Agglutination",5.30 PM,Same Day,85,190,44.7%
752,S135,RAPID PLASMA REAGIN (RPR -TITRE TEST),2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,"SLIDE
Agglutination",5.30 PM,Same Day,175,400,43.8%
753,C160,RBC FOLATE,3 ml. (2 ml. Minimum) Whole Blood in 1 EDTA tube.,Refrigerated(2-8°C),,ElectroChemilu minescence,4.30 PM,Next day Evening Except Sunday,1050,2050,51.2%
754,P194,RESULT FOR JAK2 (V617F) MUTATION,5-6 ml whole blood /3-4 ml bone marrow in 2 EDTA Vacutainers.,Refrigerated(2-8°C),,END POINT PCR,4.30 PM,10th Working Day,3750,5850,64.1%
755,A057-D,RETICULIN STAIN,SLIDE/BLOCK/TISSUE,FORMALIN/ETHANO L- FIXATIVE,Brief clinical history mandatory,Microscopy,4.30 PM,2nd Working Day,425,850,50.0%
756,H050,RETICULOCYTE COUNT,3 ml. (2 ml. Minimum) Whole Blood in 1 EDTA tube.,Refrigerated(2-8°C),,Supravital Stain,5.30 PM,Same Day,100,300,33.3%
757,H034,RETICULOCYTE INDEX,3 ml. (2 ml. Minimum) Whole Blood in 1 EDTA tube.,Refrigerated(2-8°C),,Light microscopy,5.30 PM,Same Day,70,180,38.9%
758,H051,RH ANTIBODY TITRE,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Manual,4.30 PM,Next day Evening Except Sunday,350,950,36.8%
759,S059,RHEUMATOID FACTOR (RA FACTOR) - QUANTITATIVE,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Immunoturbidi metry,5.30 PM,Same Day,230,550,41.8%
760,S072,RHEUMATOID FACTOR IGA ANTIBODY,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,"ELISA
Chemiluminesc ence",4.30 PM,Next day Evening Except Sunday,500,950,52.6%
761,S056,RHEUMATOID FACTOR IGG ANTIBODY,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,"ELISA
Chemiluminesc ence",4.30 PM,Next day Evening Except Sunday,500,950,52.6%
762,S057,RHEUMATOID FACTOR IGM ANTIBODY,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme linked immunosorben t assay (ELISA),4.30 PM,Next day Evening Except Sunday,500,950,52.6%
763,C297,RISK OF OVARIAN MALIGNANCY ALOGRITHM (ROMA),2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,"Chemiluminesc
ence Immunoassay (CLIA)",4.30 PM,2nd Working Day,2750,4650,59.1%
764,S060,ROTA VIRUS ANTIGEN,"5ml (3ml. Minimum) Stool in a leak-proof, plastic, screw capped container. Do not use match box or absorbant material",AMBIENT (18-25° C),,Immunoblot,4.30 PM,Next day Evening Except Sunday,350,850,41.2%
765,S131,RPR (SEROLOGY FOR SYPHILIS),2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Slide Flocculation,5.30 PM,Same Day,85,190,44.7%
766,P028,RUBELLA DNA PCR - QUALITATIVE,3 ml. (2 ml. Minimum) Whole Blood in 1 EDTA tube.,Refrigerated(2-8°C),,Enzyme linked immunosorben t assay (ELISA),4.30 PM,3rd Working Day,2450,3850,63.6%
767,S249,RUBELLA IgG AVIDITY,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,ELISA -AVIDITY,4.30 PM,Next day Evening Except Sunday,500,1050,47.6%
768,S061,RUBELLA VIRUS IgG,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme linked immunosorben t assay (ELISA),4.30 PM,Same Day,115,550,20.9%
769,S062,RUBELLA VIRUS IgM,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme linked immunosorben t assay (ELISA),4.30 PM,Same Day,115,550,20.9%
770,C232,SAAG(SERUM ASCITES-ALBUMIN GRADIENT),2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,"Bromo Cresol
Purple Dye Binding-Calculated",5.30 PM,Same Day,230,550,41.8%
771,S117,SALMONELLA TYPHI IgG (TYPHI DOT),2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Chromatograp hy,4.30 PM,Same Day,280,650,43.1%
772,S111,SALMONELLA TYPHI IGM (TYPHI DOT),2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,"L.H.
Chromatograp hy",4.30 PM,Same Day,280,650,43.1%
773,S080,SCL-70 ANTIBODY,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme Immunoassay (EIA),4.30 PM,Next day Evening Except Sunday,800,1850,43.2%
774,M178,SCRUB TYPHUS ANTIBODY,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Immuno chromatograph y,4.30 PM,Next day Evening Except Sunday,750,1650,45.5%
775,M067,SCRUB TYPHUS IgM ANTIBODY,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme linked immunosorben t assay (ELISA),4.30 PM,Next day Evening Except Sunday,850,1850,45.9%
776,C1247,SELENIUM,2ml.(1ml. Minimum)WB-EDTA / WB-HEPARIN,Refrigerated(2-8°C),,AAS,4.30 PM,7th Working Day,1850,3550,52.1%
777,H005,SEMEN ANALYSIS,"2 ml. (1 ml. minimum) Semen in a sterile, leak - proof, container. screw capped, plastic cont",AMBIENT (18-25° C),"Only for walk-in patients in main lab on working days Patient should refrain from ejaculation for  2-7 days (ideally 3 days) prior to collection . Specimen must be obtained by masturbation
only.",Light microscopy,5.30 PM,Same Day,100,230,43.5%
778,C289,SEMEN FRUCTOSE,"2 ml. (1 ml. minimum) Semen in a sterile, leak - proof, container. screw capped,
plastic cont",AMBIENT (18-25° C),"Brief clinical history should be mentioned on the TRF along with
contact information",Biochemical Analysis,4.30 PM,Next day Evening Except Sunday,500,1050,47.6%
779,C037,SGOT/AST (ASPARTATE AMINO-TRANSFERASE),2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),"Overnight fasting
(10-12 Hrs) is preferred.",IFCC without pyridoxal phosphate,5.30 PM,Same Day,60,150,40.0%
780,C011,SGPT/ALT (ALANINE AMINO-TRANSFERASE),2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),"Overnight fasting
(10-12 Hrs) is preferred.",IFCC without pyridoxal phosphate,5.30 PM,Same Day,60,150,40.0%
781,C161,SHBG (SEX HORMONE BINDING GLOBULIN) - HORMONE ASSAY,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Electrochemilu minescence,4.30 PM,Next day Evening Except Sunday,1150,2550,45.1%
782,H052,SICKLING TEST,3 ml. (2 ml. Minimum) Whole Blood in 1 EDTA tube.,Refrigerated(2-8°C),,"Deoxygenation
/Microscopy",5.30 PM,Same Day,150,350,42.9%
783,M177,SLIT SKIN SMEAR FOR LEPROSY,ANY SAMPLE,AMBIENT (18-25° C),Send Sample In Sterile Container,Light Microscopy,4.30 PM,3rd Working Day,115,250,46.0%
784,S079,SM/RNP ANTIBODY,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme linked immunosorben t assay (ELISA),4.30 PM,Next day Evening Except Sunday,650,1550,41.9%
785,M041,SMEAR FOR GONOCOCCI,SMEAR,Refrigerated(2-8°C),Send Sample In Sterile Container,Light Microscopy,5.30 PM,3rd Working Day,115,250,46.0%
786,C162,SODIUM,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),"Overnight fasting
(10-12 Hrs) is preferred.",Ion Selective Electrode,5.30 PM,Same Day,60,180,33.3%
787,C163,SODIUM - 24 Hrs. Urine,"20 ml. (10 ml. Minimum)
sterile, 24 Hour container. aliquot of urine in a
screw capped , Record 24",Refrigerated(2-8°C),Do not use preservatives,ISE Direct,5.30 PM,Same Day,100,230,43.5%
788,C1292,SODIUM SPOT URINE,"15 ml.(10.0 ml. minimum) aliquot of Morning’s Midstream/Random Urine in
a sterile  leak - proof  screw",Refrigerated(2-8°C),Do Not Freeze,Ion Selective Electrode,5.30 PM,Same Day,60,150,40.0%
789,A057,SPECIAL STAINS,SLIDE/BLOCK/TISSUE,FORMALIN/ETHANO L- FIXATIVE,Brief clinical history mandatory,Microscopy,4.30 PM,2nd Working Day,425,850,50.0%
790,C258,SPOT PROTEIN/CREATININE RATIO,"15 ml.(10.0 ml. minimum) aliquot of Morning’s Midstream/Random Urine in
a sterile  leak - proof  screw",Refrigerated(2-8°C),Do Not Freeze,Modifie Jaffe Kinetic/Biuret,5.30 PM,Same Day,115,250,46.0%
791,M035,STAIN- INDIAN INK,2ml. (1 ml. Minimum) FLUID.,Refrigerated(2-8°C),Send Sample In Sterile Container,Light Microscopy,5.30 PM,Same Day,115,250,46.0%
792,C164,STONE ANALYSIS,Any Sample,AMBIENT (18-25° C),,Spectrophotom etry,5.30 PM,Same Day,650,1450,44.8%
793,H003,STOOL EXAMINATION - ROUTINE,"5ml (3ml. Minimum) Stool in a leak-proof, plastic, screw capped container. Do not use match box or absorbant material",AMBIENT (18-25° C),,Benedict’s Test Microscopy,5.30 PM,Same Day,60,150,40.0%
794,H170,STOOL EXAMINATION FOR CRYPTOSPORIDIUM,"5ml (3ml. Minimum) Stool in a leak-proof, plastic, screw capped container. Do not use match box or absorbant material",AMBIENT (18-25° C),Send Sample In Sterile Container,Light Microscopy,5.30 PM,3rd Working Day,115,250,46.0%
795,H501,STOOL EXAMINATION FOR REDUCING SABSTANCES,"5ml (3ml. Minimum) Stool in a leak-proof, plastic, screw capped container. Do not use match box or absorbant material",AMBIENT (18-25° C),,Benedict’s Test,5.30 PM,Same Day,90,200,45.0%
796,H004,STOOL FOR OCCULT BLOOD,"5gm (3gm Minimum) Stool in a leak-proof, plastic, screw capped container. Do not use match box or absorbant material.",AMBIENT (18-25° C),,"Benzidine, Microscopy",5.30 PM,Same Day,60,150,40.0%
797,H502,STOOL FOR PH LEVEL,"5ml (3ml. Minimum) Stool in a leak-proof, plastic, screw capped container. Do not use match box or absorbant material",AMBIENT (18-25° C),,Chemical Method,5.30 PM,Same Day,45,100,45.0%
798,S142,STREPTOCOCCUS GROUP B ANTIGEN,CSF/Fld/Spt/Pus/OT/P,Refrigerated(2-8°C),,Latex Agglutination,4.30 PM,Next day Evening Except Sunday,1050,2050,51.2%
799,H073,SUPRESSOR T - CELL MARKER : CD 8,"2 ml. (1 ml. Minimum) Whole blood (EDTA,or Heparin ), Plasma or Serum",Refrigerated(2-8°C),Brief clinical history mandatory,Flow Cytometry-BD FACSC Calibur,4.30 PM,2nd Working Day,1050,1550,67.7%
800,H009,SYNOVIAL FLUID FOR CRYSTALS,2ml. (1 ml. Minimum) SYNOVIAL FLUID.,AMBIENT (18-25° C),Brief clinical history mandatory,Polarization Microscopy,4.30 PM,Next day Evening Except Sunday,230,600,38.3%
801,H069,T-CELL/B-CELL SUBSET MARKER : CD5,"2 ml. (1 ml. Minimum) Whole blood (EDTA,or Heparin ), Plasma or Serum",Refrigerated(2-8°C),Brief clinical history mandatory,Flow Cytometry-BD FACSC Calibur,4.30 PM,Next day Evening Except Sunday,1050,1550,67.7%
802,C308,TACROLIMUS - DRUG ASSAY,3 ml. (2 ml. Minimum) Whole Blood in 1 EDTA tube.,Refrigerated(2-8°C),,"Chemiluminesc enceMicroparti cle
Immunoassay(",4.30 PM,Next day Evening Except Sunday,1650,3550,46.5%
803,C165,TESTOSTERONE FREE - HORMONE ASSAYS,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme linked immunosorben t assay (ELISA),4.30 PM,Next day Evening Except Sunday,450,1150,39.1%
804,C166,TESTOSTERONE TOTAL,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,"Chemiluminesc
ence Immunoassay (CLIA)",5.30 PM,Same Day,200,600,33.3%
805,P088,THALASSEMIA BETA GLOBIN GENE SEQUENCING,3 ml. (2 ml. Minimum) Whole Blood in 1 EDTA tube.,Refrigerated(2-8°C),,Gene Sequencing,4.30 PM,21st Working Day,10500,15500,67.7%
806,C288,THEOPHYLIN,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,"Chemiluminesc
ence Immunoassay (CLIA)",4.30 PM,Next day Evening Except Sunday,600,1150,52.2%
807,H053,THROMBIN TIME,2ml. (1 ml. Minimum)Plasma in 1 Sodium Citrate (Light Blue Top) tube.,Refrigerated(2-8°C),,"Coagulation
Method Electro mechanical Clot Detection",5.30 PM,Same Day,175,400,43.8%
808,C1248,THROMBOTIC PROFILE,2ml.(1ml.minimum) Sodium Citrate,Refrigerated(2-8°C),,"Spectrophotom
etry Turbidometry Enhanced",4.30 PM,Next day Evening Except Sunday,7500,12500,60.0%
809,C167,THYROGLOBULIN,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,"Chemiluminesc
ence Immunoassay (CLIA)",4.30 PM,Next day Evening Except Sunday,750,1650,45.5%
810,P91,THYROID PROFILE,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,"Chemiluminesc
ence Immunoassay (CLIA)",5.30 PM,Same Day,115,600,19.2%
811,P92,THYROID PROFILE FREE,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,"Chemiluminesc
ence Immunoassay (CLIA)",5.30 PM,Same Day,150,700,21.4%
812,C168,THYROID STIMULATING HORMONE (TSH),2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,"Chemiluminesc
ence Immunoassay (CLIA)",5.30 PM,Same Day,45,300,15.0%
813,C213,THYROXINE BINDING GLOBULIN,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Electrochemilu minescence,4.30 PM,Next day Evening Except Sunday,3550,5550,64.0%
814,C169,THYROXINE FREE (FT4),2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,"Chemiluminesc
ence Immunoassay (CLIA)",5.30 PM,Same Day,70,350,20.0%
815,C170,THYROXINE TOTAL (T4),2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,"Chemiluminesc
ence Immunoassay (CLIA)",5.30 PM,Same Day,45,300,15.0%
816,C239,TIBC (TOTAL IRON BINDING CAPACITY),2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),"Must Record date of birth,
sex, race and religion, history of blood transfusion with date and number of",See Individual Assays,5.30 PM,Same Day,115,250,46.0%
817,S103,TISSUE TRANSGLUTAMINASE ANTIBODY IGA (TTG IgA),2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme linked immunosorben t assay (ELISA),4.30 PM,Same Day,500,1250,40.0%
818,S104,TISSUE TRANSGLUTAMINASE IGG ANTIBODY,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme linked immunosorben t assay (ELISA),4.30 PM,Same Day,500,1250,40.0%
819,S105,TISSUE TRANSGLUTAMINASE IGM ANTIBODY,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme linked immunosorben t assay (ELISA),4.30 PM,Same Day,500,1250,40.0%
820,H054,TLC & DLC,"3 ml.(2 ml. Minimum) Whole blood in 1
EDTA (Lavender Top) tube and 2 unstained peripheral blood smears, air dried & sent in a slide mailer",Refrigerated(2-8°C),,"Microscopy/
VCS
Technology Microscopy",5.30 PM,Same Day,70,180,38.9%
821,C176,TOTAL IgE,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,"Chemiluminesc
ence Immunoassay (CLIA)",5.30 PM,Same Day,230,650,35.4%
822,H059,TOTAL LEUKOCYTE COUNT (TLC),3 ml. (2 ml. Minimum) Whole Blood in 1 EDTA tube.,Refrigerated(2-8°C),,Coulter Principle (Impedance),5.30 PM,Same Day,70,180,38.9%
823,P022,TOXOPLASMA DNA PCR - QUALITATIVE,"2 ml. (1 ml. Minimum) Whole blood (EDTA ), Plasma or Serum",Refrigerated(2-8°C),,Real Time PCR,4.30 PM,3rd Working Day,2450,3850,63.6%
824,S064,TOXOPLASMA GONDII IgG,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme linked immunosorben t assay (ELISA),4.30 PM,Same Day,115,550,20.9%
825,S063,TOXOPLASMA GONDII IgM,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Enzyme linked immunosorben t assay (ELISA),4.30 PM,Same Day,115,550,20.9%
826,C1244,TOXOPLASMA IgG AVIDITY,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,"Chemiluminesc
ence Immunoassay (CLIA)",4.30 PM,Next day Evening Except Sunday,500,1050,47.6%
827,S065,TPHA (TREPONEMA PALLIDUM HAEMAGGIUTINATION),2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Agglutination,5.30 PM,Same Day,280,750,37.3%
828,C280,TPMT ENZYME ACTIVITY,2 ml. (1 ml. Minimum) Whole Blood from EDTA or Heparin .,Refrigerated(2-8°C),,,4.30 PM,2nd Working Day,3450,5050,68.3%
829,C171,TRANSFERRIN,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),"Must Record date of birth,
sex, race and religion, history of blood transfusion with date and number of",See Individual Assays,5.30 PM,Same Day,575,1050,54.8%
830,C233,TRANSFERRIN SATURATION,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Electrochemilu minescence,5.30 PM,Same Day,280,750,37.3%
831,C315,TRIGLYCERIDE - URINE,"15 ml.(10.0 ml. minimum) aliquot of Morning’s Midstream/Random Urine in
a sterile  leak - proof  screw",Refrigerated(2-8°C),Do Not Freeze,Enzymatic Colorimetric,5.30 PM,Same Day,100,230,43.5%
832,C172,TRIGLYCERIDES - Serum,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,Spectrophotom etry,5.30 PM,Same Day,100,230,43.5%
833,C173,TRIODOTHYRONINE FREE (FT3),2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,"Chemiluminesc
ence Immunoassay (CLIA)",5.30 PM,Same Day,70,350,20.0%
834,C174,TRIODOTHYRONINE TOTAL (T3),2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,"Chemiluminesc
ence Immunoassay (CLIA)",5.30 PM,Same Day,45,300,15.0%
835,C175,TROPONIN - I,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,"L.H.
Chromatograp hy/ELISA",5.30 PM,Same Day,800,1650,48.5%
836,C209,TROPONIN - T,2 ml. (1 ml. Minimum) Whole Blood From EDTA,Refrigerated(2-8°C),,"L.H.
Chromatograp hy/ELISA",5.30 PM,Same Day,800,1650,48.5%
837,S112,TUBERCULOSIS - GAMMA INTERFERON - QUANTIFERON,5ml.(3ml Minimum) blood in green top Heparin veil,Refrigerated(2-8°C),Please Send Sample In Lithium Heparin Tube,Enzyme linked immunosorben t assay (ELISA),5.30 PM,2nd Working Day,950,2250,42.2%
838,C276,TUMOR NECROSIS FACTOR (TNF) - ALPHA,2 ml. (1 ml. Minimum) Serum,Refrigerated(2-8°C),,"Chemiluminesc
ence Immunoassay (CLIA)",4.30 PM,2nd Working Day,2050,3550,57.7%
